"","job","firm","functional_area","type","link"
"132","CyberArk Architect - Manager","PwC","Unknown","Job","https://www.consultancy.uk/jobs/38092/pwc/cyberark-architect-manager"
"133","Senior Director | Industrials & Special Situations | Strategic Communications","FTI Consulting","Unknown","Job","https://www.consultancy.uk/jobs/35779/fti-consulting/senior-director-industrials-special-situations-strategic-communications"
"134","Senior DevOps Specialist","Valcon","Software","Job","https://www.consultancy.uk/jobs/35960/valcon/senior-devops-specialist"
"135","Consultant / Senior Consultant - DevOps Architect - Business Technology (London/Manchester/Glasgow)","Capgemini Invent","IT Strategy","Job","https://www.consultancy.uk/jobs/40068/capgemini-invent/consultant-senior-consultant-devops-architect-business-technology-londonmanchesterglasgow"
"136","Associate Director, Consulting Practice","Yonder Consulting","Strategy","Job","https://www.consultancy.uk/jobs/37405/yonder-consulting/associate-director-consulting-practice"
"137","MM-4817; Business Analysts, Fixed Voice IMS & Mobile","B2E Consulting","Mobile & Apps","Job","https://www.consultancy.uk/jobs/29340/b2e-consulting/mm-4817-business-analysts-fixed-voice-ims-mobile"
"138","Cloud Economics - Managing Consultant / Senior Manager (London/Manchester/Glasgow)","Capgemini Invent","Cloud","Job","https://www.consultancy.uk/jobs/39715/capgemini-invent/cloud-economics-managing-consultant-senior-manager-londonmanchesterglasgow"
"139","Supply Chain Manager - Advisory Consulting - Dublin","PwC","Supply Chain","Job","https://www.consultancy.uk/jobs/38996/pwc/supply-chain-manager-advisory-consulting-dublin"
"140","Full Stack Engineer","PA Consulting","Unknown","Job","https://www.consultancy.uk/jobs/39394/pa-consulting/full-stack-engineer"
"141","Senior Director | Analytics | Strategic Communications | London","FTI Consulting","Management","Job","https://www.consultancy.uk/jobs/35761/fti-consulting/senior-director-analytics-strategic-communications-london"
"142","Cyber | Azure IAM architect - Senior Manager","PwC","Cyber Security","Job","https://www.consultancy.uk/jobs/38089/pwc/cyber-azure-iam-architect-senior-manager"
"143","Physicist - Defence & Security","PA Consulting","Cyber Security","Job","https://www.consultancy.uk/jobs/39098/pa-consulting/physicist-defence-security"
"144","Cloud Strategy - Managing Consultant / Senior Manager (London/Manchester/Glasgow)","Capgemini Invent","Strategy","Job","https://www.consultancy.uk/jobs/39712/capgemini-invent/cloud-strategy-managing-consultant-senior-manager-londonmanchesterglasgow"
"145","Senior Consultant, Managed Document Review | Technology","FTI Consulting","IT Strategy","Job","https://www.consultancy.uk/jobs/35776/fti-consulting/senior-consultant-managed-document-review-technology"
"146","SAP Implementation Lead | Senior Manager | Technology Consulting | Advisory | Dublin/Cork","PwC","IT Strategy","Job","https://www.consultancy.uk/jobs/38017/pwc/sap-implementation-lead-senior-manager-technology-consulting-advisory-dublincork"
"147","Cloud Operating Model - Managing Consultant / Senior Manager (London/Manchester/Glasgow)","Capgemini Invent","Cloud","Job","https://www.consultancy.uk/jobs/39709/capgemini-invent/cloud-operating-model-managing-consultant-senior-manager-londonmanchesterglasgow"
"148","Senior Consultant I |Regulated Industries & Energy Markets| Economic & Financial Consulting","FTI Consulting","Unknown","Job","https://www.consultancy.uk/jobs/35743/fti-consulting/senior-consultant-i-regulated-industries-energy-markets-economic-financial-consulting"
"149","Full Stack Engineer","PA Consulting","Unknown","Job","https://www.consultancy.uk/jobs/39505/pa-consulting/full-stack-engineer"
"150","SAP Solution Architect | Senior Manager | Technology Consulting | Advisory | Dublin/Cork","PwC","IT Strategy","Job","https://www.consultancy.uk/jobs/38014/pwc/sap-solution-architect-senior-manager-technology-consulting-advisory-dublincork"
"151","Manager/Senior Manager - Energy & Utilities - Equipment & Asset Management Advisory","Capgemini Invent","Management","Job","https://www.consultancy.uk/jobs/39895/capgemini-invent/managersenior-manager-energy-utilities-equipment-asset-management-advisory"
"152","Third Party Risk Management Consultant","PA Consulting","Management","Job","https://www.consultancy.uk/jobs/38716/pa-consulting/third-party-risk-management-consultant"
"153","Director, Export Controls & Sanctions | Forensic & Litigation Consulting","FTI Consulting","Forensic & Litigation","Job","https://www.consultancy.uk/jobs/35740/fti-consulting/director-export-controls-sanctions-forensic-litigation-consulting"
"154","Technical Support Engineer | Technology","FTI Consulting","IT Strategy","Job","https://www.consultancy.uk/jobs/35758/fti-consulting/technical-support-engineer-technology"
"155","IT Strategy Consultant","PA Consulting","Strategy","Job","https://www.consultancy.uk/jobs/39391/pa-consulting/it-strategy-consultant"
"156","Manager/Senior Manager - Energy & Utilities - Digital Engineering (London/Manchester/Glasgow)","Capgemini Invent","Digital","Job","https://www.consultancy.uk/jobs/39898/capgemini-invent/managersenior-manager-energy-utilities-digital-engineering-londonmanchesterglasgow"
"157","Finance Transformation - Manager","PwC","Finance","Job","https://www.consultancy.uk/jobs/37429/pwc/finance-transformation-manager"
"158","Revenue Accountant | Finance & Accounting | Core Operations","FTI Consulting","Finance","Job","https://www.consultancy.uk/jobs/35713/fti-consulting/revenue-accountant-finance-accounting-core-operations"
"159","Finance Transformation - Senior Associate","PwC","Finance","Job","https://www.consultancy.uk/jobs/37426/pwc/finance-transformation-senior-associate"
"160","Digital Workplace - Low Code No Code Consultant (London/Manchester/Glasgow)","Capgemini Invent","Digital","Job","https://www.consultancy.uk/jobs/39179/capgemini-invent/digital-workplace-low-code-no-code-consultant-londonmanchesterglasgow"
"161","Solution Architect","PA Consulting","Unknown","Job","https://www.consultancy.uk/jobs/40020/pa-consulting/solution-architect"
"162","Advisory Senior Manager | Portfolio and Programme Management | Dublin/Cork","PwC","Management","Job","https://www.consultancy.uk/jobs/39577/pwc/advisory-senior-manager-portfolio-and-programme-management-dublincork"
"163","Senior Revenue Accountant | Finance & Accounting | Core Operations","FTI Consulting","Finance","Job","https://www.consultancy.uk/jobs/35719/fti-consulting/senior-revenue-accountant-finance-accounting-core-operations"
"164","Senior Manager - Energy & Utilities - Transformation (Digital Strategy/Platform Architecture)","Capgemini Invent","Unknown","Job","https://www.consultancy.uk/jobs/40505/capgemini-invent/senior-manager-energy-utilities-transformation-digital-strategyplatform-architecture"
"165","AWS Engineer","PA Consulting","Unknown","Job","https://www.consultancy.uk/jobs/40017/pa-consulting/aws-engineer"
"166","Consultant | Industrials & Special Situations | Strategic Communications","FTI Consulting","Unknown","Job","https://www.consultancy.uk/jobs/35773/fti-consulting/consultant-industrials-special-situations-strategic-communications"
"167","GCP-Cloud Architect","PA Consulting","Unknown","Job","https://www.consultancy.uk/jobs/40008/pa-consulting/gcp-cloud-architect"
"168","Manager/Senior Manager - Energy & Utilities - Customer Experience (London/Manchester/Glasgow)","Capgemini Invent","Unknown","Job","https://www.consultancy.uk/jobs/40502/capgemini-invent/managersenior-manager-energy-utilities-customer-experience-londonmanchesterglasgow"
"169","Financial Services Advisory | Senior Associate | Banking (Risk)","PwC","Unknown","Job","https://www.consultancy.uk/jobs/37349/pwc/financial-services-advisory-senior-associate-banking-risk"
"170","Manager/Senior Manager - Energy & Utilities - Sector Transformation","Capgemini Invent","Unknown","Job","https://www.consultancy.uk/jobs/39877/capgemini-invent/managersenior-manager-energy-utilities-sector-transformation"
"171","Financial Services Advisory | Senior Associate | Banking (Digital Banking)","PwC","Unknown","Job","https://www.consultancy.uk/jobs/37346/pwc/financial-services-advisory-senior-associate-banking-digital-banking"
"172","Data Scientist","PA Consulting","Data Science","Job","https://www.consultancy.uk/jobs/40083/pa-consulting/data-scientist"
"173","Team Assistant | Regional Leads | Core Operations","FTI Consulting","Unknown","Job","https://www.consultancy.uk/jobs/35698/fti-consulting/team-assistant-regional-leads-core-operations"
"174","Hardware Engineer","PA Consulting","Unknown","Job","https://www.consultancy.uk/jobs/40119/pa-consulting/hardware-engineer"
"175","Consultant - Valuations, Disputes and Arbitration | Energy |Economic and Financial Consulting","FTI Consulting","Management","Job","https://www.consultancy.uk/jobs/35716/fti-consulting/consultant-valuations-disputes-and-arbitration-energy-economic-and-financial-consulting"
"176","Financial Services Advisory | Senior Associate | Banking (Retail Banking Operations)","PwC","Unknown","Job","https://www.consultancy.uk/jobs/37328/pwc/financial-services-advisory-senior-associate-banking-retail-banking-operations"
"177","Consultant / Senior Consultant - Digital Business Architect (London/Manchester/Glasgow)","Capgemini Invent","Digital","Job","https://www.consultancy.uk/jobs/40059/capgemini-invent/consultant-senior-consultant-digital-business-architect-londonmanchesterglasgow"
"178","Financial Services Advisory | Manager | Banking (Risk)","PwC","Unknown","Job","https://www.consultancy.uk/jobs/37325/pwc/financial-services-advisory-manager-banking-risk"
"179","Benefits Advisor | Human Resources | Core Operations","FTI Consulting","Human Resources","Job","https://www.consultancy.uk/jobs/35755/fti-consulting/benefits-advisor-human-resources-core-operations"
"180","AWS Alliance Manager","PA Consulting","Unknown","Job","https://www.consultancy.uk/jobs/40110/pa-consulting/aws-alliance-manager"
"181","DevOps Engineer Consultant (London/Manchester/Glasgow)","Capgemini Invent","Software","Job","https://www.consultancy.uk/jobs/40089/capgemini-invent/devops-engineer-consultant-londonmanchesterglasgow"
"182","Software Engineer - C ++","PA Consulting","Software","Job","https://www.consultancy.uk/jobs/40122/pa-consulting/software-engineer-c"
"183","Financial Services Advisory | Manager | Banking (Transaction Enablement and Migration)","PwC","Unknown","Job","https://www.consultancy.uk/jobs/37319/pwc/financial-services-advisory-manager-banking-transaction-enablement-and-migration"
"184","Service Designer - Digital Factory (London/Manchester/Glasgow)","Capgemini Invent","Digital","Job","https://www.consultancy.uk/jobs/39619/capgemini-invent/service-designer-digital-factory-londonmanchesterglasgow"
